[2025-06-17T19:08:36Z] LIBPOLYCALL_TELEMETRY: FLAG_USAGE | dry_run=false,unsafe_io=false | DRY_RUN=false | UNSAFE_IO=false | CONFIG_MISALIGNED=false
[2025-06-17T19:08:36Z] LIBPOLYCALL_TELEMETRY: INFO | Script Version: 2.0.0 | DRY_RUN=false | UNSAFE_IO=false | CONFIG_MISALIGNED=false
[2025-06-17T19:08:36Z] LIBPOLYCALL_TELEMETRY: INFO | Target Version: v2.0.0 | DRY_RUN=false | UNSAFE_IO=false | CONFIG_MISALIGNED=false
[2025-06-17T19:08:36Z] LIBPOLYCALL_TELEMETRY: INFO | Execution Mode: DRY-RUN UNSAFE-IO STANDARD | DRY_RUN=false | UNSAFE_IO=false | CONFIG_MISALIGNED=false
[2025-06-17T19:08:36Z] LIBPOLYCALL_TELEMETRY: INFO | Telemetry: dev → ./telemetry-debug.log | DRY_RUN=false | UNSAFE_IO=false | CONFIG_MISALIGNED=false
[2025-06-17T19:08:36Z] LIBPOLYCALL_TELEMETRY: PHASE_START | Validating LibPolyCall Repository Structure | DRY_RUN=false | UNSAFE_IO=false | CONFIG_MISALIGNED=false
[2025-06-17T19:08:36Z] LIBPOLYCALL_TELEMETRY: ERROR | Invalid LibPolyCall repository: missing src/ or include/ directories | DRY_RUN=false | UNSAFE_IO=false | CONFIG_MISALIGNED=false
[2025-06-17T19:08:58Z] LIBPOLYCALL_TELEMETRY: FLAG_USAGE | dry_run=false,unsafe_io=false | DRY_RUN=false | UNSAFE_IO=false | CONFIG_MISALIGNED=false
[2025-06-17T19:08:58Z] LIBPOLYCALL_TELEMETRY: INFO | Script Version: 2.0.0 | DRY_RUN=false | UNSAFE_IO=false | CONFIG_MISALIGNED=false
[2025-06-17T19:08:58Z] LIBPOLYCALL_TELEMETRY: INFO | Target Version: v2.0.0 | DRY_RUN=false | UNSAFE_IO=false | CONFIG_MISALIGNED=false
[2025-06-17T19:08:58Z] LIBPOLYCALL_TELEMETRY: INFO | Execution Mode: DRY-RUN UNSAFE-IO STANDARD | DRY_RUN=false | UNSAFE_IO=false | CONFIG_MISALIGNED=false
[2025-06-17T19:08:58Z] LIBPOLYCALL_TELEMETRY: INFO | Telemetry: dev → ./telemetry-debug.log | DRY_RUN=false | UNSAFE_IO=false | CONFIG_MISALIGNED=false
[2025-06-17T19:08:58Z] LIBPOLYCALL_TELEMETRY: PHASE_START | Validating LibPolyCall Repository Structure | DRY_RUN=false | UNSAFE_IO=false | CONFIG_MISALIGNED=false
[2025-06-17T19:08:58Z] LIBPOLYCALL_TELEMETRY: ERROR | Invalid LibPolyCall repository: missing src/ or include/ directories | DRY_RUN=false | UNSAFE_IO=false | CONFIG_MISALIGNED=false
